variables,aggressive,caring,confident,dominant,emotionally_stable,intelligent,mean,responsible,sociable,trustworthy,unhappy,weird
aggressive,0,5.38,3.35,2.21,5.05,4.12,2.3,4.52,4.19,4.84,3.16,4.25
caring,5.38,0,3.07,4.58,2.49,3.12,5.95,2.55,2.68,2.26,4.57,3.74
confident,3.35,3.07,0,2.75,2.42,2.77,4.14,2.76,2.26,2.88,5.23,4.36
dominant,2.21,4.58,2.75,0,3.88,3.47,2.81,3.75,3.51,4.06,4.28,4.52
emotionally_stable,5.05,2.49,2.42,3.88,0,3.11,5.17,2.51,2.82,2.51,5.28,4.32
intelligent,4.12,3.12,2.77,3.47,3.11,0,4.25,2.72,3.32,3.03,3.99,3.36
mean,2.3,5.95,4.14,2.81,5.17,4.25,0,4.75,4.87,5.31,2.77,4.35
responsible,4.52,2.55,2.76,3.75,2.51,2.72,4.75,0,3.17,2.15,4.46,4.11
sociable,4.19,2.68,2.26,3.51,2.82,3.32,4.87,3.17,0,3.06,5.05,4.52
trustworthy,4.84,2.26,2.88,4.06,2.51,3.03,5.31,2.15,3.06,0,4.49,4.06
unhappy,3.16,4.57,5.23,4.28,5.28,3.99,2.77,4.46,5.05,4.49,0,3.53
weird,4.25,3.74,4.36,4.52,4.32,3.36,4.35,4.11,4.52,4.06,3.53,0
